,BRK_pts,LAL_pts,BRK_def_rtg,BRK_off_rtg,BRK_orb_pct,BRK_drb_pct,BRK_blk_pct,BRK_tov_pct,BRK_efg_pct,BRK_fg3_pct,LAL_def_rtg,LAL_off_rtg,LAL_orb_pct,LAL_drb_pct,LAL_blk_pct,LAL_tov_pct,LAL_efg_pct,LAL_fg3_pct,A,H,Winner
37,95.0,103.0,110.2,101.7,38.1,74.4,6.1,19.6,0.524,0.333,101.7,110.2,25.6,61.9,8.9,10.3,0.511,0.333,0.0,1.0,1.0
38,87.0,106.0,112.8,92.6,23.3,73.7,7.3,17.0,0.462,0.417,92.6,112.8,26.3,76.7,11.9,16.0,0.581,0.52,1.0,0.0,1.0
39,84.0,103.0,113.2,92.4,20.4,72.5,13.8,8.7,0.396,0.25,92.4,113.2,27.5,79.6,2.9,11.5,0.534,0.318,0.0,1.0,1.0
40,92.0,99.0,105.5,98.1,31.3,76.9,10.6,12.6,0.427,0.2,98.1,105.5,23.1,68.8,10.1,12.1,0.457,0.438,0.0,1.0,1.0
41,88.0,100.0,115.3,101.5,32.6,81.1,6.9,11.5,0.453,0.263,101.5,115.3,18.9,67.4,10.6,9.4,0.528,0.385,1.0,0.0,1.0
42,87.0,91.0,105.5,100.8,20.4,71.8,6.8,6.1,0.435,0.333,100.8,105.5,28.2,79.6,1.5,16.1,0.525,0.318,1.0,0.0,1.0
43,90.0,95.0,105.9,100.3,28.6,80.0,5.8,12.5,0.457,0.304,100.3,105.9,20.0,71.4,8.5,11.0,0.521,0.286,1.0,0.0,1.0
44,83.0,92.0,99.1,89.4,36.4,86.5,7.2,14.1,0.382,0.261,89.4,99.1,13.5,63.6,7.6,12.6,0.47,0.231,0.0,1.0,1.0
45,94.0,99.0,108.3,102.8,22.9,75.0,18.2,11.3,0.44,0.367,102.8,108.3,25.0,77.1,13.2,9.6,0.476,0.433,0.0,1.0,1.0
46,108.0,102.0,109.2,115.6,30.8,74.4,3.4,16.7,0.553,0.48,115.6,109.2,25.6,69.2,9.8,16.3,0.559,0.412,1.0,0.0,0.0
47,114.0,105.0,110.3,119.8,28.9,70.2,3.0,9.9,0.528,0.476,119.8,110.3,29.8,71.1,5.9,8.9,0.483,0.174,1.0,0.0,0.0
48,107.0,99.0,103.0,111.3,15.0,80.4,8.2,7.7,0.529,0.286,111.3,103.0,19.6,85.0,6.8,10.3,0.495,0.333,0.0,1.0,0.0
49,98.0,104.0,102.8,96.9,28.6,86.5,10.9,12.8,0.446,0.158,96.9,102.8,13.5,71.4,8.1,13.6,0.468,0.304,0.0,1.0,1.0
50,101.0,107.0,112.4,106.1,22.4,80.5,7.0,6.5,0.466,0.278,106.1,112.4,19.5,77.6,5.6,12.4,0.56,0.423,1.0,0.0,1.0
51,118.0,125.0,115.7,109.2,18.0,73.1,9.4,11.5,0.515,0.293,109.2,115.7,26.9,82.0,3.4,9.0,0.495,0.321,1.0,0.0,1.0
52,107.0,97.0,101.0,111.4,38.0,70.0,6.3,12.6,0.448,0.314,111.4,101.0,30.0,62.0,11.8,8.6,0.418,0.222,0.0,1.0,0.0
53,112.0,124.0,109.3,98.8,13.8,83.3,6.8,12.9,0.456,0.237,98.8,109.3,16.7,86.2,13.2,13.1,0.559,0.429,1.0,0.0,1.0
54,99.0,102.0,106.5,103.3,11.6,64.7,12.1,10.7,0.506,0.31,103.3,106.5,35.3,88.4,11.3,13.0,0.478,0.385,0.0,1.0,1.0
55,115.0,110.0,105.3,110.1,9.1,81.8,8.0,10.0,0.56,0.412,110.1,105.3,18.2,90.9,7.0,12.3,0.539,0.325,0.0,1.0,0.0
56,111.0,106.0,102.7,107.5,21.6,65.5,6.7,11.1,0.489,0.381,107.5,102.7,34.5,78.4,18.0,12.7,0.432,0.25,1.0,0.0,0.0
57,113.0,128.0,122.8,108.4,16.3,75.0,5.4,14.1,0.555,0.457,108.4,122.8,25.0,83.7,13.3,12.7,0.601,0.5,0.0,1.0,1.0
58,104.0,102.0,107.4,109.5,26.9,80.5,6.4,9.1,0.483,0.325,109.5,107.4,19.5,73.1,8.0,13.2,0.546,0.375,1.0,0.0,0.0
59,109.0,98.0,106.5,118.5,21.6,75.6,5.7,12.9,0.61,0.462,118.5,106.5,24.4,78.4,10.5,15.2,0.53,0.267,1.0,0.0,0.0
